Kabupaten/Kota,TPT_2025,kenaikan_3th,laju_ternormalisasi,naik_terus_3th,pct_laju,pct_level,bonus_konsisten,skor_risiko,tier_risiko
Kota Probolinggo,4.93,0.4,0.22803534695576733,False,100.0,86.8421052631579,0,84.73684210526316,Tinggi
Kota Mojokerto,4.66,-0.07,-0.02621252421217186,False,97.36842105263158,78.94736842105263,0,80.26315789473685,Tinggi
Kota Malang,5.69,-1.11,-0.6922028168804644,False,60.526315789473685,97.36842105263158,0,69.21052631578948,Tinggi
Kabupaten Bangkalan,5.31,-0.87,-0.6883960498947252,False,63.1578947368421,92.10526315789474,0,68.42105263157895,Tinggi
Kabupaten Blitar,4.49,-0.42,-0.4830886691795593,False,73.68421052631578,73.68421052631578,0,66.3157894736842,Tinggi
Kota Kediri,3.76,-0.3,-0.13104482906825912,False,89.47368421052632,44.73684210526316,0,62.631578947368425,Tinggi
Kota Madiun,4.29,-1.56,-0.573767129632499,False,68.42105263157895,69.73684210526315,0,62.10526315789473,Tinggi
Kota Pasuruan,4.59,-1.05,-0.6923925131706025,False,57.89473684210527,76.31578947368422,0,59.47368421052632,Sedang
Kabupaten Malang,5.0,-0.7,-0.7682213058258728,False,47.368421052631575,89.47368421052632,0,59.473684210526315,Sedang
Kabupaten Sidoarjo,5.75,-2.3,-0.8900431178570074,False,36.84210526315789,100.0,0,58.421052631578945,Sedang
Kabupaten Banyuwangi,3.94,-0.81,-0.6677202469007141,False,65.78947368421053,57.89473684210527,0,56.05263157894738,Sedang
Kota Batu,3.53,-0.99,-0.47748610018405263,False,76.31578947368422,42.10526315789473,0,55.0,Sedang
Kabupaten Kediri,4.71,-1.08,-0.7833564257032004,False,44.73684210526316,81.57894736842105,0,55.0,Sedang
Kota Blitar,4.28,-0.96,-0.6977956602322426,False,55.26315789473685,65.78947368421053,0,53.947368421052644,Sedang
Kabupaten Situbondo,3.02,-0.25,-0.31111015279295406,False,86.8421052631579,21.052631578947366,0,51.8421052631579,Sedang
Kabupaten Ngawi,2.26,-0.15,-0.09865046530857093,False,94.73684210526315,10.526315789473683,0,51.57894736842105,Sedang
Kabupaten Gresik,5.47,-1.35,-1.1168843149682353,False,23.684210526315788,94.73684210526315,0,49.73684210526315,Sedang
Kota Surabaya,4.84,-1.92,-1.0036068894297991,False,31.57894736842105,84.21052631578947,0,49.473684210526315,Sedang
Kabupaten Probolinggo,2.92,-0.32,-0.36871222630949213,False,84.21052631578947,18.421052631578945,0,49.473684210526315,Sedang
Kabupaten Sumenep,1.64,-0.07,-0.10587549489157472,False,92.10526315789474,7.894736842105263,0,49.21052631578947,Rendah
Kabupaten Sampang,2.44,-0.28,-0.3774668410757539,False,81.57894736842105,13.157894736842104,0,46.05263157894737,Rendah
Kabupaten Nganjuk,3.84,-0.84,-0.7478150429866094,False,50.0,47.368421052631575,0,43.94736842105263,Rendah
Kabupaten Bojonegoro,3.9,-0.73,-0.8619471008798751,False,42.10526315789473,55.26315789473685,0,43.15789473684211,Rendah
Kabupaten Trenggalek,3.86,-0.66,-0.8769801323697143,False,39.473684210526315,52.63157894736842,0,40.78947368421053,Rendah
Kabupaten Pamekasan,1.33,-0.41,-0.4411341604368702,False,78.94736842105263,2.631578947368421,0,40.526315789473685,Rendah
Kabupaten Pacitan,1.4,-0.43,-0.542343870709734,False,71.05263157894737,5.263157894736842,0,37.631578947368425,Rendah
Kabupaten Ponorogo,3.85,-0.81,-0.9202088851023933,False,34.21052631578947,50.0,0,37.10526315789474,Rendah
Kabupaten Lumajang,3.08,-0.59,-0.7464479864216529,False,52.63157894736842,26.31578947368421,0,36.84210526315789,Rendah
Kabupaten Lamongan,4.29,-1.17,-1.325470035154076,False,13.157894736842104,69.73684210526315,0,34.473684210526315,Rendah
Kabupaten Pasuruan,4.22,-1.26,-1.3798340853435112,False,10.526315789473683,63.1578947368421,0,30.526315789473685,Rendah
Kabupaten Mojokerto,3.49,-1.18,-1.0495128193524392,False,28.947368421052634,39.473684210526315,0,30.263157894736842,Rendah
Kabupaten Tulungagung,4.03,-1.62,-1.4050711965680118,False,5.263157894736842,60.526315789473685,0,26.842105263157897,Rendah
Kabupaten Magetan,3.26,-0.9,-1.1119230016678656,False,26.31578947368421,31.57894736842105,0,25.789473684210527,Rendah
Kabupaten Tuban,3.44,-0.96,-1.1633723084611995,False,21.052631578947366,36.84210526315789,0,25.263157894736842,Rendah
Kabupaten Jombang,3.28,-1.38,-1.2001160645304896,False,18.421052631578945,34.21052631578947,0,22.89473684210526,Rendah
Kabupaten Jember,3.07,-0.94,-1.2085283731031597,False,15.789473684210526,23.684210526315788,0,17.36842105263158,Rendah
Kabupaten Madiun,3.22,-1.92,-1.3949711326975411,False,7.894736842105263,28.947368421052634,0,15.526315789473687,Rendah
Kabupaten Bondowoso,2.55,-1.6,-1.7009231551263297,False,2.631578947368421,15.789473684210526,0,7.631578947368421,Rendah
